Date,City,Temperature,Humidity,AirQualityIndex,NoiseLevel_dB,HumanActivityLevel,NearbyGreenSpaces,RoadDensity,WildlifeSpecies,SpeciesCategory,NumberOfSightings,TimeOfDay,WeatherCondition,DayOfWeek,Season,ProximityToWaterSource,UrbanDevelopmentIndex,PublicAwarenessLevel,ConservationEffortsLevel,GarbageManagementScore,LightPollutionLevel,TypeOfSighting,PhotographicEvidence,CitizenReportReliability,SightingDuration_Min,InteractionType,AnimalBehavior,IsEndangeredSpecies,DistanceFromCityCenter_km,ResidentialAreaType,NoiseToleranceLevel,VegetationDensity,ObservationMethod
01-07-24,Karachi,23.9,85.1,247,59,4,1,3,Porcupine,Mammal,8,Night,Foggy,Fri,Winter,2,0.76,0.02,0.14,0.36,0.11,Seen,No,0.64,4,Heard,Aggressive,Yes,43,Urban,0.76,0.29,Website
15-08-26,Karachi,29.5,51.6,84,83,1,0,8,Fox,Mammal,5,Evening,Sunny,Fri,Autumn,7,0.29,0.49,0.45,0.52,0.54,Seen,No,0.4,11.3,Fed,Fleeing,Yes,38.4,Urban,0.4,0.56,Website
29-03-18,Lahore,34.3,83.7,218,99,5,2,2,Owl,Bird,4,Morning,Rainy,Sun,Spring,0,0.97,0.55,0.46,0.33,0.66,Seen,No,0.31,7.2,Photographed,Feeding,Yes,1.5,Rural,0.29,0.46,App
01-08-15,Peshawar,31.6,40.5,69,80,3,1,5,Porcupine,Mammal,2,Night,Rainy,Mon,Winter,2,0.29,0.48,0.99,0.58,0.35,Fed,Yes,0.66,11.6,Fed,Curious,Yes,10,Semi-urban,0.92,0.32,Website
07-04-10,Islamabad,24.3,58.1,156,49,0,0,0,Hedgehog,Mammal,5,Afternoon,Sunny,Sat,Winter,6,0.5,0.48,0.69,0.2,0.98,Fed,Yes,0.68,22.6,Photographed,Aggressive,Yes,30.1,Urban,0.22,0.67,Hotline
20-10-21,Karachi,15.8,43.9,154,57,0,0,6,Monkey,Mammal,8,Afternoon,Cloudy,Tue,Spring,4,0.42,0.23,0.7,0.25,0.91,Photographed,No,0.58,52.4,Seen,Fleeing,Yes,14.6,Rural,0.81,0.2,Hotline
26-01-20,Karachi,38,47.1,97,58,3,4,5,Owl,Bird,2,Afternoon,Rainy,Sat,Summer,1,0.59,0.62,0.26,0.24,0.83,Chased,Yes,0.79,20.9,Seen,Aggressive,No,31.9,Semi-urban,0.83,0.9,App
09-06-14,Lahore,15.2,76.9,283,51,3,2,9,Cobra,Reptile,5,Morning,Cloudy,Sat,Autumn,3,0.4,0.51,0.73,0.48,0.01,Seen,Yes,0.11,40,Heard,Aggressive,Yes,42.4,Urban,0.79,0.38,In-person
25-11-14,Karachi,29.1,36.4,232,72,0,3,3,Bat,Mammal,4,Afternoon,Cloudy,Wed,Summer,8,0.88,0.05,0.3,0.57,0.62,Chased,Yes,0.16,40.2,Fed,Feeding,Yes,26.5,Semi-urban,0.83,0.3,In-person
19-01-25,Lahore,20.9,75.5,151,84,7,4,3,Hedgehog,Mammal,7,Evening,Rainy,Wed,Spring,4,0.53,0.04,0.03,0.61,0.3,Seen,Yes,0.77,53.9,Chased,Curious,No,7.1,Rural,0.72,0.56,In-person
08-11-14,Karachi,18.4,65.6,93,89,8,4,6,Owl,Bird,6,Afternoon,Sunny,Tue,Winter,7,0.99,0.51,0.12,0.47,0.18,Fed,No,0.64,41.9,Chased,Feeding,Yes,23.5,Urban,0.1,0.52,Hotline
28-07-12,Quetta,17.4,67.7,162,85,6,3,0,Porcupine,Mammal,6,Afternoon,Cloudy,Mon,Winter,0,0.44,0.65,0.7,0.86,0.18,Heard,Yes,0.96,4.5,Photographed,Feeding,Yes,49.2,Semi-urban,0.86,0.69,Website
27-04-12,Islamabad,37,25.1,195,99,6,0,8,Monkey,Mammal,4,Afternoon,Sunny,Thu,Autumn,4,0.46,0.24,0.45,0.95,0.21,Heard,Yes,0.26,15.3,Heard,Calm,Yes,27.6,Rural,0.93,0.62,In-person
30-11-10,Karachi,22.3,50.8,136,71,0,2,0,Bat,Mammal,2,Morning,Rainy,Thu,Spring,0,0.84,0.55,0.84,0.96,0.94,Photographed,No,0.19,56.7,Seen,Calm,Yes,39.8,Urban,0.78,0.18,App
20-03-17,Karachi,20.4,88.3,109,50,0,2,5,Owl,Bird,9,Evening,Cloudy,Sun,Winter,4,0.09,0.75,0.85,0.11,0.82,Seen,Yes,0.79,21.5,Chased,Calm,No,34.5,Rural,0,0.94,Website
22-11-11,Karachi,31.5,63.4,186,71,7,0,2,Fox,Mammal,6,Afternoon,Rainy,Wed,Autumn,0,0.91,0.58,0.17,0.91,0.68,Seen,No,0.73,59.1,Photographed,Curious,Yes,3.9,Urban,0.43,0.32,Hotline
14-04-21,Quetta,33.9,76.5,164,61,5,3,0,Hedgehog,Mammal,9,Evening,Foggy,Fri,Winter,1,0.68,0.24,0.61,0.97,0.99,Heard,Yes,0.68,53.3,Photographed,Feeding,Yes,10.1,Semi-urban,0.25,0.96,In-person
29-06-21,Peshawar,19.1,33.4,216,71,6,3,0,Fox,Mammal,5,Night,Foggy,Mon,Winter,0,0.49,0.3,0.58,0.95,0.89,Fed,Yes,0.79,17.3,Seen,Curious,Yes,12.2,Semi-urban,0.84,0.26,Website
04-05-12,Islamabad,33.2,50.7,64,77,2,4,9,Owl,Bird,5,Evening,Rainy,Fri,Spring,8,0.79,0.63,0.47,0.64,0.91,Chased,No,0.61,48.2,Fed,Calm,Yes,49,Semi-urban,0.71,0.62,Hotline
18-09-25,Islamabad,16.1,46.2,299,89,9,0,6,Porcupine,Mammal,1,Evening,Rainy,Sat,Winter,7,0.74,0.42,0.49,0.8,0.3,Photographed,No,0.19,31.7,Heard,Feeding,No,26.5,Rural,0.8,0.97,App
09-12-23,Quetta,16.7,61.4,54,98,0,0,5,Fox,Mammal,1,Night,Sunny,Thu,Spring,1,0.58,0.98,0.97,0.13,0.77,Heard,No,0.82,22.8,Fed,Feeding,No,33,Rural,0.49,0.31,Website
06-09-11,Karachi,37.8,38.4,173,98,6,3,5,Monkey,Mammal,9,Afternoon,Sunny,Mon,Summer,9,0.92,0.43,0.59,0.46,0.38,Seen,Yes,0.3,41.5,Chased,Curious,Yes,35.9,Rural,0.27,0.81,App
18-07-17,Islamabad,40.6,84.4,175,58,8,3,6,Wild Cat,Mammal,2,Afternoon,Foggy,Thu,Spring,0,0.72,0.06,0.38,0.09,0.86,Fed,Yes,0.66,57.4,Chased,Aggressive,Yes,1.1,Semi-urban,0.42,0.19,Website
10-09-17,Lahore,25.5,31.3,274,50,0,0,4,Monkey,Mammal,7,Morning,Cloudy,Sat,Autumn,6,0.79,0.42,0.27,0.86,0.6,Fed,No,0.63,37,Heard,Feeding,No,36,Semi-urban,0.31,0.13,Website
12-05-15,Lahore,39.3,29,224,82,6,0,2,Fox,Mammal,8,Afternoon,Foggy,Sun,Spring,7,0.65,0.17,0.37,0.93,0.44,Photographed,No,0.82,55.7,Heard,Calm,No,48.7,Semi-urban,0.9,0.39,App
19-05-20,Peshawar,43.9,76.9,179,47,5,0,0,Fox,Mammal,5,Night,Rainy,Sat,Autumn,6,0.77,0.08,0.23,0.96,0.5,Heard,No,0.46,50.6,Photographed,Curious,Yes,4.5,Urban,0.42,0.44,In-person
26-04-11,Lahore,25.5,41.5,275,41,9,2,6,Cobra,Reptile,3,Evening,Cloudy,Wed,Spring,7,0.3,0.16,0.83,0.97,0.35,Seen,Yes,0.36,36.5,Chased,Fleeing,No,38.8,Semi-urban,0.46,0.67,Website
14-09-11,Islamabad,36.5,87.2,274,59,4,2,4,Fox,Mammal,3,Afternoon,Sunny,Wed,Spring,6,0.06,0.96,0.62,0.17,0.12,Fed,Yes,0.43,19.2,Photographed,Curious,Yes,14,Semi-urban,0.47,0.92,App
10-12-26,Islamabad,32,56.5,119,68,2,0,9,Fox,Mammal,1,Evening,Sunny,Sun,Summer,9,0.64,0.34,0.05,0.87,0.17,Heard,Yes,0.94,29.2,Heard,Aggressive,No,17.1,Urban,0.74,0.89,Website
16-04-20,Quetta,26.1,48.5,65,52,9,1,8,Cobra,Reptile,8,Morning,Foggy,Sat,Spring,9,0.23,0.66,0.12,0.39,0.63,Heard,Yes,0.36,4.9,Seen,Calm,No,4.2,Rural,0.13,0.85,In-person
23-03-11,Karachi,34.7,24.5,68,67,6,4,5,Fox,Mammal,5,Afternoon,Cloudy,Fri,Winter,3,0.78,0.32,0.43,0.48,0.93,Heard,No,0.15,12.6,Heard,Aggressive,No,35.3,Rural,0.58,0.33,Website
04-05-25,Lahore,23.7,45.7,74,86,5,2,5,Fox,Mammal,4,Night,Sunny,Sat,Winter,1,0.12,0.42,0.36,0.18,0.89,Seen,No,0.23,38.5,Photographed,Fleeing,Yes,44.5,Semi-urban,0.91,0.81,In-person
01-12-20,Quetta,20.3,77.2,200,57,0,1,8,Fox,Mammal,5,Morning,Cloudy,Tue,Winter,3,0.48,0.64,0.62,0.36,0.42,Seen,Yes,0.39,60,Photographed,Fleeing,Yes,29,Rural,0.09,0.57,Hotline
08-02-26,Quetta,16.5,40.2,290,44,5,4,9,Fox,Mammal,1,Afternoon,Foggy,Wed,Autumn,8,0.65,0.81,0.43,0.12,0.94,Chased,No,0.59,37.3,Photographed,Feeding,Yes,46.7,Rural,0.93,0.61,In-person
25-02-15,Karachi,23.9,89.8,141,51,7,4,8,Porcupine,Mammal,3,Night,Rainy,Fri,Summer,5,0.89,0.48,0.82,0.84,0.82,Heard,Yes,0.75,51.4,Seen,Curious,Yes,19.4,Urban,0.11,0.86,Website
27-06-13,Karachi,29.9,28.9,75,87,2,2,2,Wild Cat,Mammal,7,Afternoon,Cloudy,Thu,Autumn,7,0.2,0.85,0.28,0.79,0.49,Photographed,Yes,0.76,23.5,Fed,Aggressive,No,17.4,Urban,0.84,0.13,Hotline
19-09-25,Lahore,44.2,65.4,102,48,4,3,7,Porcupine,Mammal,5,Afternoon,Sunny,Tue,Autumn,0,0.99,0.24,0.72,0.43,0.65,Photographed,No,0.28,28.8,Photographed,Fleeing,Yes,49,Urban,0.2,0.67,Website
24-02-14,Karachi,32.3,59.6,142,50,3,4,5,Wild Cat,Mammal,3,Afternoon,Foggy,Sat,Winter,8,0.17,0.41,0.77,0.98,0.95,Photographed,Yes,0.91,10.3,Photographed,Aggressive,No,45.7,Semi-urban,0.88,0.44,In-person
16-05-25,Peshawar,26.8,52.2,140,67,8,3,8,Fox,Mammal,3,Morning,Sunny,Sat,Spring,5,0.16,0.84,0.87,0.09,0.91,Chased,Yes,0.35,37.5,Seen,Aggressive,Yes,3.5,Rural,0.38,0.51,Hotline
23-01-22,Islamabad,33,56.8,58,57,0,0,5,Bat,Mammal,8,Night,Sunny,Sun,Winter,6,0.48,0.31,0.93,0.28,0.29,Chased,Yes,0.31,9.6,Chased,Calm,No,18.3,Rural,0.68,0.77,Hotline
05-02-26,Karachi,39.4,33.8,132,86,3,0,6,Monkey,Mammal,5,Afternoon,Rainy,Wed,Summer,7,0.39,0.2,0.61,0.74,0.13,Seen,No,0.82,13.3,Fed,Feeding,Yes,24.6,Semi-urban,0.86,0.27,App
04-04-23,Peshawar,22.3,24.4,187,74,5,2,5,Hedgehog,Mammal,3,Night,Cloudy,Fri,Spring,8,0.54,0.23,0.3,0.25,0.65,Fed,No,0.6,5.6,Photographed,Calm,Yes,26.4,Urban,0.79,0.17,Website
15-07-18,Quetta,41.7,60.5,67,82,5,4,2,Fox,Mammal,9,Night,Cloudy,Wed,Summer,3,0.11,0.43,0.21,0.43,0.99,Heard,No,0.62,41.9,Fed,Feeding,Yes,33.9,Semi-urban,0.82,0.95,App
22-07-18,Lahore,34.8,53.3,155,49,8,3,7,Porcupine,Mammal,8,Evening,Sunny,Mon,Winter,7,0.73,1,0.3,0.88,0.6,Photographed,No,0.51,14.1,Seen,Feeding,Yes,36.9,Rural,0.9,0.31,Website
28-01-18,Quetta,20.3,68.7,257,73,2,2,3,Owl,Bird,7,Evening,Rainy,Fri,Spring,9,0.86,0.36,0.39,0.7,0.09,Seen,No,0.17,9,Photographed,Feeding,Yes,28.2,Semi-urban,0.15,0.35,In-person
04-07-11,Quetta,34.4,21.1,182,79,1,4,4,Bat,Mammal,3,Evening,Foggy,Mon,Summer,9,0.65,0.56,0.76,0.87,0.6,Heard,No,0.83,19.4,Fed,Fleeing,Yes,11.5,Urban,0.43,0.71,Website
27-12-23,Quetta,20.6,67.6,120,92,5,1,8,Owl,Bird,6,Evening,Sunny,Sun,Summer,6,0.9,0.68,0.29,0.87,0.75,Fed,Yes,0.48,42.9,Heard,Aggressive,Yes,43.4,Urban,0.98,0.96,Hotline
24-01-24,Islamabad,24.8,49.5,136,72,4,2,8,Monkey,Mammal,9,Night,Foggy,Fri,Winter,6,0.78,0.18,0.3,0.45,0.36,Chased,Yes,0.98,50.3,Fed,Fleeing,Yes,24,Semi-urban,0.88,0.41,App
21-12-21,Peshawar,38.6,35.7,252,78,1,2,8,Bat,Mammal,2,Morning,Foggy,Tue,Spring,6,0.07,0.21,0.15,0.19,0.1,Photographed,Yes,0.61,36,Fed,Feeding,Yes,42.2,Semi-urban,0.42,0.58,Website
02-10-24,Lahore,44.7,57.2,288,63,3,0,2,Monkey,Mammal,6,Morning,Rainy,Sun,Winter,6,0.46,0.85,0.82,0.89,0.94,Photographed,No,0.5,39.7,Seen,Aggressive,No,19.6,Semi-urban,0.35,0.49,App
24-10-17,Quetta,37.3,55.1,279,74,9,2,1,Monkey,Mammal,5,Night,Rainy,Fri,Spring,3,0.28,0.46,0.95,0.73,0.01,Chased,No,0.2,55.5,Seen,Feeding,No,42.5,Rural,0.49,0.66,In-person
02-04-24,Islamabad,23.7,75.5,60,63,2,4,4,Bat,Mammal,3,Morning,Cloudy,Mon,Autumn,1,0.95,0.82,0.94,0.67,0.23,Chased,Yes,0.78,20.2,Heard,Aggressive,No,22.1,Rural,0.27,0.48,Website
08-09-17,Karachi,35.4,27.7,133,69,4,1,5,Wild Cat,Mammal,2,Afternoon,Rainy,Thu,Spring,2,0.51,0.04,0.9,0.82,0.73,Heard,No,0.65,35.2,Fed,Curious,Yes,49.8,Urban,0.28,0.8,Hotline
26-11-25,Peshawar,32.4,88.3,258,52,8,1,1,Porcupine,Mammal,8,Morning,Sunny,Sat,Autumn,3,0.26,0.55,0.77,0.69,0.57,Fed,No,0.46,52.4,Chased,Calm,Yes,23,Urban,0.3,0.67,In-person
01-07-26,Quetta,35.8,47.9,298,79,5,2,7,Porcupine,Mammal,5,Morning,Sunny,Sat,Spring,4,0.23,0.27,0.04,0.18,0.65,Fed,No,0.55,48,Seen,Calm,Yes,3.2,Semi-urban,0.89,1,App
27-11-19,Quetta,15.5,87.7,237,88,2,2,4,Wild Cat,Mammal,9,Morning,Rainy,Sat,Winter,6,0.72,0.02,0.97,0.22,0.66,Photographed,Yes,0.49,4.5,Chased,Fleeing,Yes,23.7,Rural,0.52,0.87,Hotline
24-01-23,Quetta,37,25.6,179,88,4,1,4,Hedgehog,Mammal,5,Night,Cloudy,Mon,Summer,3,0.51,0.74,0.68,0.85,0.22,Heard,No,0.78,53,Photographed,Calm,No,8.7,Semi-urban,0.35,0.97,In-person
30-11-20,Quetta,38.4,39.8,295,92,5,2,2,Wild Cat,Mammal,5,Night,Cloudy,Mon,Autumn,4,0.67,0.35,0.57,0.38,0.3,Heard,No,0.87,45.5,Chased,Aggressive,Yes,17.3,Semi-urban,0.43,0.72,App
31-01-17,Quetta,39.3,67.9,279,84,9,0,6,Owl,Bird,2,Night,Foggy,Thu,Winter,4,0.9,0.08,0.93,0.4,0.92,Heard,Yes,0.17,43.2,Photographed,Calm,No,36.8,Rural,1,0.79,Website
02-02-24,Karachi,26.5,59,125,94,3,0,5,Porcupine,Mammal,7,Afternoon,Cloudy,Thu,Spring,5,0.57,0.04,0.8,0.06,0.94,Seen,Yes,0.29,31.2,Photographed,Curious,Yes,3.3,Urban,0.89,0.98,Website
21-04-22,Peshawar,19.4,40.7,209,53,1,4,1,Owl,Bird,9,Night,Sunny,Thu,Winter,6,0.14,0.47,0.16,0.46,0.22,Heard,Yes,0.76,2.6,Seen,Calm,Yes,27.8,Urban,0.17,0.1,In-person
15-08-24,Karachi,41.1,67,66,77,1,0,9,Porcupine,Mammal,7,Night,Cloudy,Sun,Summer,5,0.42,0.89,0.25,0.4,0.33,Heard,No,0.79,55.1,Chased,Feeding,No,42.5,Semi-urban,0.8,0.99,App
03-03-26,Lahore,35.9,72.6,150,54,8,2,1,Porcupine,Mammal,1,Night,Sunny,Sat,Summer,7,0.7,0.68,0.68,0.51,0.28,Photographed,No,0.66,57.7,Fed,Calm,Yes,41.7,Rural,0.11,0.12,Website
30-12-14,Karachi,30,74.3,64,68,3,1,2,Monkey,Mammal,9,Night,Rainy,Fri,Winter,4,0.92,0.47,0.41,0.35,0.42,Seen,No,0.71,26.6,Photographed,Curious,Yes,16.3,Urban,0.74,0.28,In-person
16-07-11,Lahore,21.1,68.8,221,51,5,2,0,Wild Cat,Mammal,5,Morning,Foggy,Thu,Winter,7,0.45,0.1,0.09,0.78,0.45,Heard,No,0.87,34.9,Chased,Feeding,Yes,31,Urban,0.93,0.25,App
26-10-10,Karachi,31.3,24.1,64,92,3,2,6,Monkey,Mammal,8,Morning,Foggy,Sun,Spring,4,0.46,0.65,0.47,0.14,0.51,Seen,Yes,0.92,10.4,Photographed,Feeding,No,34.5,Urban,0.59,0.77,Website
23-07-13,Peshawar,19.5,85.9,274,64,0,0,8,Hedgehog,Mammal,4,Afternoon,Foggy,Sun,Spring,8,0.4,0.38,0.66,0.09,0.74,Fed,Yes,0.14,12.2,Seen,Feeding,Yes,33.2,Rural,0.1,0.97,Website
19-09-16,Peshawar,41.1,63.8,262,90,5,2,7,Fox,Mammal,6,Evening,Cloudy,Fri,Autumn,9,0.41,0.56,0.71,0.03,0.29,Seen,No,0.65,22.1,Fed,Feeding,No,38.8,Semi-urban,0.65,0.31,App
08-10-21,Peshawar,19.4,64,224,41,5,4,8,Hedgehog,Mammal,4,Morning,Foggy,Sun,Autumn,6,0.63,0.36,0.67,0.57,0.85,Heard,No,0.66,38.4,Fed,Aggressive,Yes,11.2,Semi-urban,0.42,0.41,App
16-09-16,Peshawar,15.3,41.9,104,85,8,1,1,Monkey,Mammal,6,Morning,Cloudy,Tue,Spring,2,0.15,0.87,0.94,0.49,0.12,Photographed,No,0.54,7.5,Heard,Calm,No,44.2,Rural,0.71,0.32,Website
23-02-16,Karachi,41.6,64.7,233,98,2,1,5,Cobra,Reptile,5,Night,Sunny,Sat,Summer,2,0.99,0.57,0.17,0.16,0.76,Chased,Yes,0.63,33.4,Seen,Feeding,Yes,23.3,Urban,0.73,0.87,Hotline
30-12-11,Islamabad,24.1,35.5,91,82,4,0,3,Bat,Mammal,5,Night,Sunny,Fri,Summer,5,0.13,0.6,0.28,0.61,0.08,Heard,No,0.2,32.6,Fed,Feeding,No,25.6,Rural,0.27,0.84,App
25-03-20,Lahore,20.6,45.2,299,61,7,4,4,Monkey,Mammal,3,Morning,Rainy,Sun,Winter,6,0.62,0.88,0.13,0.8,0.12,Fed,Yes,0.47,20.1,Fed,Fleeing,No,29.3,Rural,0.3,0.67,Website
17-10-17,Lahore,26,80.3,60,65,0,4,1,Wild Cat,Mammal,5,Evening,Sunny,Sat,Winter,7,0.65,0.35,0.29,0.48,0.21,Photographed,No,0.36,4.7,Chased,Feeding,No,15.3,Urban,0.32,0.97,In-person
13-03-24,Karachi,32.7,75.1,287,79,7,1,5,Cobra,Reptile,5,Afternoon,Cloudy,Fri,Autumn,1,0.68,0.08,0.59,0.27,0.93,Chased,No,0.36,24.5,Chased,Aggressive,Yes,42,Urban,0.44,0.31,In-person
23-09-19,Islamabad,31.4,78.8,120,45,2,1,2,Bat,Mammal,2,Morning,Sunny,Sat,Autumn,2,0.06,0.4,0.82,0.13,0.67,Chased,No,0.1,7.5,Chased,Feeding,Yes,17.6,Rural,0.08,0.86,In-person
04-05-18,Quetta,40.9,72.9,90,87,2,1,5,Hedgehog,Mammal,3,Afternoon,Cloudy,Wed,Spring,3,0.42,0.88,0.66,0.12,0.74,Chased,Yes,0.57,14.3,Fed,Curious,Yes,14.5,Semi-urban,0.56,0.64,Hotline
20-10-23,Lahore,44,79.8,106,70,8,2,5,Cobra,Reptile,6,Morning,Rainy,Mon,Summer,2,0.28,0.22,0.38,0.76,0.71,Chased,No,0.7,1.4,Fed,Curious,No,7.2,Rural,0.22,0.34,App
05-08-19,Karachi,19.4,48.7,282,99,4,3,4,Owl,Bird,7,Afternoon,Rainy,Fri,Spring,6,0.79,0.75,0,0.3,0.62,Photographed,No,0.21,5.2,Photographed,Curious,Yes,41.4,Rural,0.45,0.87,In-person
06-02-10,Peshawar,39.7,82.5,271,57,7,1,7,Bat,Mammal,3,Afternoon,Cloudy,Wed,Summer,9,0.8,0.95,0.89,0.46,0.64,Heard,Yes,0.31,24.8,Heard,Feeding,No,43.6,Semi-urban,0.03,0.58,Hotline
17-03-12,Lahore,41.2,28.5,273,79,2,1,5,Owl,Bird,5,Evening,Foggy,Tue,Summer,7,0.76,0.5,0.73,0.51,0.59,Seen,No,0.78,36.8,Heard,Feeding,No,30.8,Rural,0.79,0.95,In-person
14-06-14,Lahore,26.3,60.4,154,77,5,1,9,Cobra,Reptile,2,Night,Cloudy,Fri,Spring,5,0,0.79,0.64,0.05,0.79,Chased,Yes,0.3,16.7,Heard,Curious,No,4.8,Urban,0.53,0.55,Hotline
11-08-15,Quetta,25.4,31.8,268,95,0,2,3,Owl,Bird,8,Night,Rainy,Wed,Winter,2,0.1,0.01,0.47,0.73,0.46,Chased,No,0.15,41.7,Chased,Feeding,No,32.2,Urban,0.68,0.29,Website
25-12-22,Peshawar,38.9,53.5,275,42,4,3,9,Wild Cat,Mammal,2,Evening,Cloudy,Mon,Spring,4,0,0.4,0.49,0.74,0.07,Photographed,Yes,0.93,16.6,Fed,Feeding,Yes,18.4,Urban,0.05,0.69,In-person
22-07-26,Quetta,36.3,85,275,46,6,3,4,Hedgehog,Mammal,4,Afternoon,Sunny,Tue,Summer,1,0.26,0.39,0.5,0.89,0.87,Fed,Yes,0.62,14.1,Photographed,Calm,Yes,20.2,Semi-urban,0.98,0.65,Hotline
05-09-13,Peshawar,38.4,51.5,295,55,8,1,3,Wild Cat,Mammal,5,Morning,Rainy,Wed,Autumn,3,0.18,0.94,0.32,0.8,0.72,Seen,No,0.81,56.3,Photographed,Aggressive,Yes,31.2,Urban,0.9,0.25,Hotline
17-05-23,Islamabad,33.8,74.1,291,47,4,2,9,Porcupine,Mammal,7,Night,Foggy,Sat,Winter,4,0.74,0.46,0.6,0.42,0.16,Heard,No,0.26,5.6,Chased,Curious,Yes,30.9,Urban,0.85,0.12,Website
29-12-21,Lahore,17,52,102,80,6,2,7,Owl,Bird,2,Evening,Sunny,Mon,Summer,4,0.22,0.93,0.23,0.53,0.34,Heard,No,0.2,4.1,Chased,Feeding,Yes,18.3,Rural,0.05,0.19,In-person
01-02-10,Quetta,19.3,20.1,202,89,0,1,7,Fox,Mammal,3,Afternoon,Foggy,Mon,Summer,6,0.15,0.26,0.59,0.32,0.5,Photographed,Yes,0.44,38.8,Heard,Feeding,No,24.4,Semi-urban,0,0.68,Hotline
17-01-16,Lahore,27.7,43.9,163,59,2,2,4,Cobra,Reptile,1,Night,Foggy,Mon,Summer,4,0.43,0.04,0.14,0.08,0.59,Fed,No,0.27,30.4,Chased,Feeding,No,18.6,Semi-urban,0.8,0.39,Website
24-12-22,Lahore,28.7,70.5,272,64,7,3,9,Monkey,Mammal,9,Night,Rainy,Fri,Summer,0,0.5,0.97,0.66,0.9,0.18,Photographed,No,0.53,54.6,Fed,Fleeing,No,16.2,Semi-urban,0.97,0.19,Website
29-10-20,Lahore,42.1,51.2,270,49,9,4,4,Monkey,Mammal,4,Evening,Sunny,Mon,Autumn,1,0.98,0.11,0.46,0.18,0.75,Photographed,Yes,0.21,15.2,Heard,Calm,Yes,9.9,Urban,0.55,0.89,Hotline
29-05-15,Islamabad,30.3,24.1,257,77,9,3,0,Cobra,Reptile,1,Afternoon,Cloudy,Mon,Spring,7,0.99,0.2,0.14,0.61,0.22,Heard,Yes,0.68,58.4,Photographed,Curious,Yes,47.3,Urban,0.23,0.25,App
16-07-18,Islamabad,31.8,61.1,165,94,8,2,9,Cobra,Reptile,7,Night,Sunny,Fri,Spring,3,0.57,0.84,0.92,0.49,0.64,Chased,Yes,0.1,15.9,Seen,Curious,No,14,Semi-urban,0.09,0.35,In-person
02-12-17,Peshawar,24.6,87.8,188,52,1,1,2,Hedgehog,Mammal,1,Afternoon,Foggy,Sun,Spring,7,0.48,0.65,0.06,0.72,0.1,Chased,No,0.23,10.4,Chased,Curious,No,46.5,Urban,0.68,0.69,App
17-02-21,Lahore,31.7,40.5,213,88,6,1,4,Cobra,Reptile,5,Afternoon,Rainy,Wed,Spring,3,0.19,0.82,0.66,0.63,0.42,Seen,Yes,0.46,41.7,Heard,Feeding,Yes,37,Rural,0.51,0.97,Hotline
12-04-13,Lahore,43.7,48.9,267,84,5,1,4,Owl,Bird,2,Afternoon,Cloudy,Fri,Spring,2,0.57,0.73,0.77,0.65,0.2,Seen,No,0.46,5.2,Fed,Calm,Yes,22.6,Semi-urban,0.97,0.68,App
05-07-15,Karachi,19.6,38.8,52,45,5,4,3,Porcupine,Mammal,6,Night,Rainy,Thu,Spring,0,1,0.73,0.02,0.23,0.97,Heard,No,0.83,34.4,Photographed,Calm,Yes,11.9,Semi-urban,0.01,0.12,In-person
29-12-25,Quetta,33.4,21.5,178,46,1,2,0,Owl,Bird,9,Night,Cloudy,Sun,Spring,4,0.08,0.77,0.58,0.09,0.85,Photographed,No,0.59,55.4,Chased,Curious,No,45.8,Rural,0.92,0.17,Website
15-06-12,Quetta,18.6,89.1,129,56,9,3,2,Wild Cat,Mammal,8,Night,Cloudy,Thu,Spring,6,0.73,0.84,0.78,0.27,0.4,Fed,Yes,0.47,30,Photographed,Aggressive,Yes,8.5,Rural,0.45,0.56,In-person
16-11-18,Peshawar,31,77.4,223,73,3,3,2,Porcupine,Mammal,1,Morning,Foggy,Mon,Spring,3,0.32,0.65,0.15,0.34,0.91,Chased,Yes,0.92,34.9,Chased,Aggressive,Yes,35.1,Semi-urban,0.85,0.96,Hotline
15-11-17,Lahore,29.7,59.3,123,86,0,3,5,Hedgehog,Mammal,5,Afternoon,Cloudy,Sun,Winter,9,0.8,0.89,0.05,0.53,0.11,Photographed,Yes,0.28,54.1,Heard,Aggressive,Yes,24.9,Rural,0.76,0.16,In-person
05-03-15,Lahore,27.5,67.2,126,79,0,0,2,Owl,Bird,9,Night,Rainy,Sat,Winter,3,0.83,0.97,0.85,0.86,0.58,Photographed,Yes,0.57,25,Fed,Feeding,Yes,40.9,Urban,0.18,0.15,Hotline
09-01-24,Islamabad,43.4,20.3,205,97,7,0,1,Cobra,Reptile,3,Afternoon,Cloudy,Wed,Summer,7,0.39,0.69,0.13,0.54,0.92,Photographed,No,0.13,16.8,Seen,Fleeing,No,6.7,Rural,0.53,0.71,In-person
07-07-24,Lahore,16.7,24.9,255,98,1,3,3,Monkey,Mammal,7,Night,Rainy,Tue,Winter,4,0.37,0.87,0.31,0.08,0.45,Fed,No,0.81,2.8,Photographed,Curious,No,29.3,Rural,0.59,0.94,App
09-11-21,Lahore,23.6,39.5,116,44,3,3,0,Hedgehog,Mammal,7,Night,Sunny,Tue,Spring,3,0.08,0.62,0.05,0.38,0.39,Chased,Yes,1,18.7,Heard,Calm,No,41,Urban,0.05,0.58,In-person
